id,name,catId,src
0,酒精飲品,0,./static/png/alcohol.png
1,沖調飲品,0,./static/png/brew.png
2,即用飲品,0,./static/png/ready.png
3,餅乾,1,./static/png/biscuit.png
4,朱古力、糖果及香口膠,1,./static/png/sweet.png
5,脆片／薯片,1,./static/png/chips.png
6,堅果及種籽,1,./static/png/nuts.png
7,其他零食,1,./static/png/other-snacks.png
8,紙巾及廁紙,2,./static/png/tissue.png
9,清潔用品,2,./static/png/cleaning.png
10,碗碟清潔,2,./static/png/dish.png
11,家居必備,2,./static/png/household.png
12,水果,3,./static/png/fruit.png
13,肉類,3,./static/png/meat.png
14,蔬菜,3,./static/png/veggie.png
15,麵包糕點,4,./static/png/bread.png
16,穀類早餐,4,./static/png/cereal.png
17,果醬、蜜糖及三文治醬,4,./static/png/jam.png
18,冷凍飲品,5,./static/png/chilled.png
19,乳製食品及雞蛋,5,./static/png/egg.png
20,乳製飲品,5,./static/png/diary.png